"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016175,"Byron","Unit 1","H-3","5.95E-07","uCi/cc","NA","","",5/11/2016 17:20:00,5/11/2016 18:30:00,70.00,"1.53E+03","cfm","1.07E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016176,"Byron","Unit 1","C-14","2.22E-09","uCi/cc","NA","","",5/2/2016 0:28:00,5/9/2016 0:24:00,10076.00,"1.35E+05","cfm","1.36E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016176,"Byron","Unit 1","H-3","7.86E-09","uCi/cc","NA","","",5/2/2016 0:28:00,5/9/2016 0:24:00,10076.00,"1.35E+05","cfm","1.36E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016177,"Byron","Unit 2","H-3","1.09E-08","uCi/cc","NA","","",5/2/2016 0:31:00,5/9/2016 0:28:00,10077.00,"1.32E+05","cfm","1.33E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016178,"Byron","Unit 1","H-3","4.71E-07","uCi/cc","NA","","",5/14/2016 4:56:00,5/14/2016 5:44:00,48.00,"1.53E+03","cfm","7.33E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016180,"Byron","Unit 1","H-3","0.00E+00","uCi/cc","NA","","",5/15/2016 3:50:00,5/15/2016 7:15:00,205.00,"2.39E+00","cfm","4.89E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
2016180,"Byron","Unit 1","XE-133","1.17E-05","uCi/cc","NA","","",5/15/2016 3:50:00,5/15/2016 7:15:00,205.00,"2.39E+00","cfm","4.89E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
2016181,"Byron","Unit 2","H-3","3.49E-08","uCi/cc","NA","","",5/16/2016 10:05:00,5/16/2016 11:09:00,64.00,"1.62E+03","cfm","1.04E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016182,"Byron","Unit 1","H-3","5.73E-07","uCi/cc","NA","","",5/16/2016 2:49:00,5/16/2016 3:55:00,66.00,"1.57E+03","cfm","1.03E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016183,"Byron","Unit 2","H-3","3.49E-08","uCi/cc","NA","","",5/18/2016 1:03:00,5/18/2016 1:34:00,31.00,"1.44E+03","cfm","4.45E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016184,"Byron","Unit 1","H-3","6.51E-07","uCi/cc","NA","","",5/18/2016 1:02:00,5/18/2016 2:03:00,61.00,"1.46E+03","cfm","8.93E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016185,"Byron","Unit 1","H-3","6.51E-07","uCi/cc","NA","","",5/19/2016 16:55:00,5/19/2016 17:57:00,62.00,"1.58E+03","cfm","9.80E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016186,"Byron","Unit 2","H-3","9.46E-09","uCi/cc","NA","","",5/9/2016 17:34:00,5/9/2016 22:42:00,308.00,"4.00E+03","cfm","1.23E+06","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016187,"Byron","Unit 2","H-3","8.91E-09","uCi/cc","NA","","",5/10/2016 1:03:00,5/10/2016 3:25:00,142.00,"4.00E+03","cfm","5.68E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016188,"Byron","Unit 2","H-3","8.91E-09","uCi/cc","NA","","",5/10/2016 5:24:00,5/10/2016 9:23:00,239.00,"4.00E+03","cfm","9.56E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016189,"Byron","Unit 2","H-3","4.57E-08","uCi/cc","NA","","",5/10/2016 13:35:00,5/11/2016 14:06:00,1471.00,"4.00E+03","cfm","5.88E+06","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
